Municipios;Sexo;Periodo;Total
39006 Arnuero;Mujeres;1998;863
39006 Arnuero;Mujeres;1997;""
39006 Arnuero;Mujeres;1996;903
39007 Arredondo;Total;2023;478
39007 Arredondo;Total;2022;471
39007 Arredondo;Total;2021;470
39007 Arredondo;Total;2020;452
39007 Arredondo;Total;2019;452
39007 Arredondo;Total;2018;470
39007 Arredondo;Total;2017;472
39007 Arredondo;Total;2016;480
39007 Arredondo;Total;2015;498
39007 Arredondo;Total;2014;507
39007 Arredondo;Total;2013;506
39007 Arredondo;Total;2012;522
39007 Arredondo;Total;2011;515
39007 Arredondo;Total;2010;517
39007 Arredondo;Total;2009;525
39007 Arredondo;Total;2008;532
39007 Arredondo;Total;2007;546
39007 Arredondo;Total;2006;547
39007 Arredondo;Total;2005;558
39007 Arredondo;Total;2004;569
39007 Arredondo;Total;2003;561
39007 Arredondo;Total;2002;598
39007 Arredondo;Total;2001;620
39007 Arredondo;Total;2000;635
39007 Arredondo;Total;1999;639
39007 Arredondo;Total;1998;645
39007 Arredondo;Total;1997;""
39007 Arredondo;Total;1996;668
39007 Arredondo;Hombres;2023;270
39007 Arredondo;Hombres;2022;271
39007 Arredondo;Hombres;2021;269
39007 Arredondo;Hombres;2020;252
39007 Arredondo;Hombres;2019;253
39007 Arredondo;Hombres;2018;267
39007 Arredondo;Hombres;2017;272
39007 Arredondo;Hombres;2016;275
39007 Arredondo;Hombres;2015;285
39007 Arredondo;Hombres;2014;288
39007 Arredondo;Hombres;2013;284
39007 Arredondo;Hombres;2012;294
39007 Arredondo;Hombres;2011;291
39007 Arredondo;Hombres;2010;296
39007 Arredondo;Hombres;2009;298
39007 Arredondo;Hombres;2008;304
39007 Arredondo;Hombres;2007;313
39007 Arredondo;Hombres;2006;311
39007 Arredondo;Hombres;2005;314
39007 Arredondo;Hombres;2004;318
39007 Arredondo;Hombres;2003;314
39007 Arredondo;Hombres;2002;336
39007 Arredondo;Hombres;2001;345
39007 Arredondo;Hombres;2000;355
39007 Arredondo;Hombres;1999;352
39007 Arredondo;Hombres;1998;353
39007 Arredondo;Hombres;1997;""
39007 Arredondo;Hombres;1996;364
39007 Arredondo;Mujeres;2023;208
39007 Arredondo;Mujeres;2022;200
39007 Arredondo;Mujeres;2021;201
39007 Arredondo;Mujeres;2020;200
39007 Arredondo;Mujeres;2019;199
39007 Arredondo;Mujeres;2018;203
39007 Arredondo;Mujeres;2017;200
39007 Arredondo;Mujeres;2016;205
39007 Arredondo;Mujeres;2015;213
39007 Arredondo;Mujeres;2014;219
39007 Arredondo;Mujeres;2013;222
39007 Arredondo;Mujeres;2012;228
39007 Arredondo;Mujeres;2011;224
39007 Arredondo;Mujeres;2010;221
39007 Arredondo;Mujeres;2009;227
39007 Arredondo;Mujeres;2008;228
39007 Arredondo;Mujeres;2007;233
39007 Arredondo;Mujeres;2006;236
39007 Arredondo;Mujeres;2005;244
39007 Arredondo;Mujeres;2004;251
39007 Arredondo;Mujeres;2003;247
39007 Arredondo;Mujeres;2002;262
39007 Arredondo;Mujeres;2001;275
39007 Arredondo;Mujeres;2000;280
39007 Arredondo;Mujeres;1999;287
39007 Arredondo;Mujeres;1998;292
39007 Arredondo;Mujeres;1997;""
39007 Arredondo;Mujeres;1996;304
39008 Astillero, El;Total;2023;18220
39008 Astillero, El;Total;2022;18153
39008 Astillero, El;Total;2021;18116
39008 Astillero, El;Total;2020;18134
39008 Astillero, El;Total;2019;18111
39008 Astillero, El;Total;2018;18108
39008 Astillero, El;Total;2017;18120
39008 Astillero, El;Total;2016;18134
39008 Astillero, El;Total;2015;18297
39008 Astillero, El;Total;2014;18282
39008 Astillero, El;Total;2013;18005
39008 Astillero, El;Total;2012;17938
39008 Astillero, El;Total;2011;17675
39008 Astillero, El;Total;2010;17545
39008 Astillero, El;Total;2009;17360
39008 Astillero, El;Total;2008;17065
39008 Astillero, El;Total;2007;16393
39008 Astillero, El;Total;2006;16032
39008 Astillero, El;Total;2005;15635
39008 Astillero, El;Total;2004;15424
39008 Astillero, El;Total;2003;14641
